機械名,メニュー名,メニュー分岐,悩み別,会員価格,正規価格,説明
POTENZA,cp21導入,Pluryal Densify,毛穴・ニキビ跡,計算中,#VALUE!,ペプチド・アミノ酸・ヒアルロン酸を含む高濃度製剤が線維芽細胞を刺激し、コラーゲン・エラスチンの産生を促進。毛穴・小ジワ・ハリ低下の原因にアプローチします。
POTENZA,cp21導入,臍帯血幹細胞培養液導入（エクソソーム）,肌荒れ,計算中,#VALUE!,幹細胞由来エクソソームが損傷組織の修復を促し、抗炎症・抗酸化・細胞再生に働きかけます。ニキビ跡、赤み、加齢による肌力低下など、複合的なお悩みに効果が期待できる再生治療です。
POTENZA,cp21導入,スキンボトックス,ハリ・艶,計算中,#VALUE!,ボツリヌストキシンが汗腺・皮脂腺の活動を抑制し、毛穴の開き・皮脂分泌・肌のテカリを軽減します。滑らかでマットな質感へ整え、メイクのりの良い陶器肌のような仕上がりが期待できます。自然な表情のまま肌質改善が可能です。
POTENZA,A1-12ニキビ・汗管腫,,肌荒れ,計算中,#VALUE!,真皮内の皮脂腺や汗管腫の腫瘍組織に直接熱エネルギーを届け、選択的に破壊・凝固します。ニキビの原因菌繁殖や皮脂過剰を抑制し、再発しにくい肌を目指します。汗管腫は複数回の照射で縮小・消退を目指す瘢痕を最小限に抑えた治療が可能です。
POTENZA,DAIAMOND,,たるみ,計算中,#VALUE!,高周波RF（ラジオ波）を肌に照射し、コラーゲンやエラスチンの生成を促進。肌の引き締めやハリ改善など小ジワや毛穴の開き、ニキビ跡の改善効果のある施術です。個人差はありますが、針を使用しないため、痛みやダウンタイムが少ないと言われています。
ソプラノ,脱毛,,脱毛,準備中,#VALUE!,"痛みに配慮し、高い脱毛効果を目指して丁寧に施術いたします。◎痛みが少ない低出力のレーザーを繰り返し照射するため、痛みが少ないとされています。特に、ソプラノアイスプラチナムは、冷却機能も搭載しており、さらに痛みを軽減できます。◎幅広い肌質・毛質に対応:メラニン色素の量と効果が直接関係しないため、色黒肌や産毛にも効果的です。◎施術時間が短い:広い照射面積で、広範囲を短時間で脱毛できます。◎3種類の波長をブレンド:ソプラノチタニウムは、3種類の波長のレーザーをブレンドして照射することで、様々な深さの毛に対応できます。"
ソプラノ,チタニウムリフト,,たるみ,準備中,#VALUE!,医療レーザーを使用し、肌のたるみやシワの改善が期待できるリフトアップ治療法です。3つの異なる波長のレーザーを同時に照射し、肌の浅い層から深い層までアプローチすることで、リフトアップ効果だけでなく、肌の引き締め、毛穴の開き改善、美白効果なども期待できます。
ピーリング,マッサージピール,,毛穴・ハリ・艶,10000,11000,トリクロロ酢酸のピーリング効果に加え、コウジ酸の配合により美白効果が期待できます。しっかり効果が欲しい方におすすめ。角質が整い、水光肌に近づきます。
ピーリング,ララピール,,肌荒れ,10000,11000,ポリ乳酸やグルタチオンなどの成分を独自に配合した医療機関専用のピーリングです。角質層への穏やかなアプローチにより、肌のトーンやキメの乱れに配慮しながら、明るく滑らかな肌印象を目指します。ダウンタイムも少なく、定期的なスキンケアとしても選ばれています。
ピーリング,ブラックピール,,ハリ・艶,計算中,#VALUE!,ブラックピールはサリチル酸や乳酸に加え、炭（チャコール）を含む医療機関専用ピーリング剤を用いた施術です。皮脂や角質の詰まり、ざらつき、くすみ印象が気になる肌に対し、表面をなめらかに整えるサポートを行います。炭の吸着力と角質ケア成分の働きにより、毛穴の引き締まり感や肌の明るさを直後から実感しやすいメニューとして人気です。
ピーリング,ボディピーリング,,ボディ,20000,22000,背中やデコルテのニキビでお悩みの方におすすめです。二の腕の毛孔性苔癬にも効果が期待できます。今あるニキビの炎症を抑えながら、ニキビ跡の軽減を目指します。
クールガン,ヘアクール,,育毛,12000,13200,頭皮深層に超低温の二酸化炭素が残存することで血流促進効果・ボーア効果による育毛を促進します。副作用やダウンタイムはほとんどないと言われています。
クールガン,ヘアクール導入,Hair filler,育毛,30000,33000,CO2によるボーア効果に加え、ペプチドやヒアルロン酸などを配合した製剤を頭皮に注入し、頭皮環境の健やかさを保つことを目的とした施術です。栄養成分が頭皮に行き渡ることで、ハリ・コシが気になる方の毛髪のボリューム維持をサポートします。痛みが苦手な方にオススメ。
クールガン,CO2導入,ビタミンC,鎮静,15000,16500,2021年にFDAの認証を取得。（本機器は国内未承認医療機器です。諸外国における安全性等に係る情報として、米国FDAで承認されています。）氷の針状にした薬剤を高速噴射し、針を使わずに有効成分を肌深部へ導入。痛みが少なく、ダウンタイムもほとんどありません。
クールガン,CO2導入,トラネキサム酸,しみ・肝斑,15000,16500,肌のくすみ印象や色ムラが気になる方に用いられる成分で、CO2凍結との組み合わせにより、肌の明るさや均一感を意識したケアを行うことが可能です。
クールガン,CO2導入,Pluryal Densify,毛穴・ハリ・艶,35000,38500,ペプチド・アミノ酸・ヒアルロン酸を含む高濃度製剤が線維芽細胞を刺激し、コラーゲン・エラスチンの産生を促進。毛穴・小ジワ・ハリ低下の原因にアプローチします。
クールガン,CO2導入,臍帯血幹細胞培養液導入（エクソソーム）,毛穴・ハリ・艶,35000,38500,エクソソームは細胞間の情報伝達を担うナノサイズの顆粒で、成長因子や核酸などを内包しています。微細な経路を形成しながら肌内部へ届けることで、肌の水分保持やキメ、ハリのある印象の維持をサポートします。加齢やニキビ跡が気になる方に適したケアです。
クールガン,CO2導入,スキンボトックス,毛穴・ハリ・艶,32000,35200,極少量のボトックスを顔全体に微注入。筋肉の動きは残しつつ、毛穴・小ジワ・皮脂テカリを整える肌質改善治療。肌質改善により、マスクの蒸れや夏場のメイク崩れが軽減されます。
クールガン,CO2導入,LIZNE,毛穴・ハリ・艶,35000,38500,ポリヌクレオチド（PN）、低分子ヒアルロン酸、ペプチド、コエンザイムなどが配合されており、肌の水分保持力やハリ感に働きかけることが期待されます。毛穴やざらつき、乾燥感など、肌の質感変化が気になる方に選ばれています。
クールガン,CO2導入,プラセンタ,ハリ・艶,15000,16500,アミノ酸やビタミン、ミネラルを豊富に含むプラセンタ製剤を、LDMの超音波振動によって肌深部へ導入する施術です。ハリ感や潤いを意識した肌ケアとして用いられ、年齢や乾燥による肌状態の変化が気になる方に適したメニューとなっています。
ダーマペン４,全顔,,毛穴・ニキビ跡,12000,13200,極細針で肌に微細な刺激を与え、コラーゲン生成を促進。毛穴・ニキビ跡・小ジワの改善に有効な再生治療です。
ダーマペン４,ボディ,,毛穴・ニキビ跡,30000,33000,極細針で肌に微細な刺激を与え、コラーゲン生成を促進。毛穴・ニキビ跡・小ジワの改善に有効な再生治療です。
ダーマペン４,ボトックスフェイシャル,,毛穴・ニキビ跡,23000,25300,極少量のボトックスを顔全体に微注入。筋肉の動きは残しつつ、毛穴・小ジワ・皮脂テカリを整える肌質改善治療。肌質改善により、マスクの蒸れや夏場のメイク崩れが軽減されます。
ダーマペン４,ヴェルヴェットスキン,,毛穴・ニキビ跡,17000,18700,ダーマペンで肌に微細な穴を開けた直後にピーリング剤を導入。ハリ・ツヤ・毛穴・ニキビ跡を同時にケアするトリートメントです。
ダーマペン４,プラセンタフェイシャル,プラセンタ,ハリ・艶,20000,22000,アミノ酸やビタミン、ミネラルを豊富に含むプラセンタ製剤を、LDMの超音波振動によって肌深部へ導入する施術です。ハリ感や潤いを意識した肌ケアとして用いられ、年齢や乾燥による肌状態の変化が気になる方に適したメニューとなっています。
ダーマペン４,ダーマペンエクソソーム,,,31800,,
ダーマペン４,妊娠線ケア,,ボディ,45000,49500,"妊娠や急激な体重変化により生じた線状皮膚萎縮（いわゆる妊娠線）に対し、ダーマペンで微細な穿孔を行い、皮膚の創傷治癒機構を利用して滑らかでふっくらとした肌質感を目指します。併用するミラノリピールは、TCA、ラクトビオン酸、サリチル酸、タルトル酸（酒石酸）、クエン酸の5種類の酸が配合されているピーリング治療です。これらの酸のピーリング効果に加えて、アミノ酸やビタミンが直接的に肌細胞を刺激し、Ⅲ型コラーゲンを増やして、エラスチンやヒアルロン酸を作る手助けをします。また、保湿成分のスクワラン、ビタミンＢ、Ｃ、GABA、アルギニンなどの成分も配合されています。TCAの濃度がマッサージピールよりも高いため、皮むけのリスクはその分高まりますが、配合成分の違いによって、ミラノリピールのほうが施術中の痛みを感じにくいと言われています。肌の奥に働きかける刺激で、硬くなった妊娠線周辺の皮膚にハリや柔軟性を感じやすく、回数を重ねることで線が徐々に目立ちにくくなる印象を目指します。"
ダーマペン４,ヘアダーマ,,,,,
ハイドラフェイシャル,ハイドラフェイシャル,,毛穴・ニキビ跡,単品15000円 他施術とセットで10000円,#VALUE!,クレンジング・角質除去・吸引・美容液導入を一度に行うことで、効率的なケアが期待できます。毛穴の黒ずみやザラつきを改善し、つるんとした透明肌へ。
Picoway,ピコジェネシス(レーザートーニング),,しみ・肝斑,8000,8800,ピコ秒レーザーがメラニンに優しく作用し、肝斑・くすみ・色ムラを改善。ダウンタイムはほとんどなく透明感のある肌へ導きます。
Picoway,ピコフラクショナル,,毛穴・ニキビ跡,9900〜,#VALUE!,真皮層に微細なレーザー刺激を与え、肌の再生を促進。毛穴・ニキビ跡・小ジワなどに効果が期待できる美肌治療です。
メソガンU225,Pluryal Densify,,毛穴・ハリ・艶,計算中,#VALUE!,ペプチド・アミノ酸・ヒアルロン酸を含む高濃度製剤が線維芽細胞を刺激し、コラーゲン・エラスチンの産生を促進。毛穴・小ジワ・ハリ低下の原因にアプローチします。
メソガンU226,LIZNE,,毛穴・ハリ・艶,計算中,#VALUE!,ポリヌクレオチド（PN）、低分子ヒアルロン酸、ペプチド、コエンザイムなどが配合されており、肌の水分保持力やハリ感に働きかけることが期待されます。毛穴やざらつき、乾燥感など、肌の質感変化が気になる方に選ばれています。
メソガンU227,臍帯血幹細胞培養液導入（エクソソーム）,,毛穴・ハリ・艶,計算中,#VALUE!,ASCE+は幹細胞由来エクソソームを含む整肌製剤で、成長因子、ペプチド、アミノ酸などの有用成分を豊富に含んでいます。ドラッグデリバリー機器により微細な経路を形成しながら肌に導入することで、乾燥・ざらつき・ハリの低下が気になる肌に潤いと健やかさを与えるケアとして選ばれています。
メソガンU228,スキンボトックス,,毛穴・ハリ・艶,計算中,#VALUE!,極少量のボトックスを顔全体に微注入。筋肉の動きは残しつつ、毛穴・小ジワ・皮脂テカリを整える肌質改善治療。肌質改善により、マスクの蒸れや夏場のメイク崩れが軽減されます。
メソガンU229,Hair filler,,薄毛,計算中,#VALUE!,ペプチドやヒアルロン酸などを配合した製剤を頭皮に注入し、頭皮環境の健やかさを保つことを目的とした施術です。栄養成分が頭皮に行き渡ることで、ハリ・コシが気になる方の毛髪のボリューム維持をサポートします。痛くても効果重視な方におすすめ。
メソガンU230,Hairエクソソーム,,薄毛,計算中,#VALUE!,エクソソームは、頭皮環境の整備や毛包周辺へのアプローチが期待されており、注目される先端成分です。ドラッグデリバリー機器を用いて頭皮表面に微細な通路を形成し、栄養成分を効率よく浸透させる設計となっており、ボリューム感やハリ・コシが気になる方の頭皮ケアに取り入れられています。
ソフウェーブ,顔/首,,たるみ,99000,108900,7MHzの超音波を皮膚真皮中層に照射し、熱刺激によりコラーゲンの生成を促す非侵襲的な施術です。皮膚表面を傷つけずに、目元やフェイスラインなどの変化にアプローチでき、エイジングケアを意識する方に選ばれています。
ソフウェーブ,顔・首,,たるみ,130000,143000,7MHzの超音波を皮膚真皮中層に照射し、熱刺激によりコラーゲンの生成を促す非侵襲的な施術です。皮膚表面を傷つけずに、目元やフェイスラインなどの変化にアプローチでき、エイジングケアを意識する方に選ばれています。
EMFACE,額・目の下・頬・あご下から2エリア,,たるみ,99000,108900,高周波（RF）と筋肉刺激（HIFES）を同時に照射し、皮膚と表情筋の両方にアプローチする技術です。非侵襲的に筋肉の収縮を促すことで、リフト感や引き締まった輪郭の印象を目指します。施術後のダウンタイムもほとんどなく、短時間でのケアが可能です。
サーマクール,顔,,たるみ,99000,108900,高周波（RF）を皮膚深部に届けることで、コラーゲン繊維の収縮および再構築を促し、肌の弾力や輪郭の変化が期待されます。リアルタイムで温度をモニターしながら照射できるため、安全性と快適性に配慮した治療が可能です。
サーマクール,顔・首,,たるみ,150000,165000,高周波（RF）を皮膚深部に届けることで、コラーゲン繊維の収縮および再構築を促し、肌の弾力や輪郭の変化が期待されます。リアルタイムで温度をモニターしながら照射できるため、安全性と快適性に配慮した治療が可能です。
ワキガレーザー,*導入予定,,,準備中99000（仮）,,
FOTONA,,,,,,
